date,numbers,bonus
2025-03-26,"[18, 27, 31, 41, 46, 48]",19
2025-03-22,"[9, 16, 22, 30, 32, 40]",13
2025-03-19,"[6, 19, 24, 25, 40, 48]",29
2025-03-15,"[9, 14, 17, 27, 31, 41]",7
2025-03-12,"[2, 9, 23, 37, 39, 48]",28
2025-03-08,"[3, 7, 14, 37, 40, 41]",32
2025-03-05,"[2, 6, 8, 13, 20, 31]",11
2025-03-01,"[1, 4, 21, 27, 34, 38]",31
2025-02-26,"[16, 17, 20, 23, 31, 35]",2
2025-02-22,"[4, 11, 25, 31, 43, 49]",19
2025-02-19,"[16, 44, 45, 46, 48, 49]",20
2025-02-15,"[14, 17, 21, 29, 32, 34]",47
2025-02-12,"[1, 12, 20, 26, 32, 45]",39
2025-02-08,"[2, 9, 13, 19, 21, 32]",42
2025-02-05,"[4, 9, 20, 32, 35, 40]",22
2025-02-01,"[13, 16, 35, 41, 44, 49]",46
2025-01-29,"[5, 20, 33, 36, 41, 47]",45
2025-01-25,"[5, 18, 20, 36, 38, 44]",46
2025-01-22,"[2, 13, 20, 21, 32, 37]",27
2025-01-18,"[5, 11, 12, 35, 39, 42]",34
2025-01-15,"[2, 4, 7, 11, 27, 47]",40
2025-01-11,"[14, 29, 34, 35, 41, 48]",20
2025-01-08,"[2, 12, 35, 37, 40, 47]",25
2025-01-04,"[6, 9, 10, 12, 18, 25]",3
2025-01-01,"[8, 12, 33, 36, 38, 40]",45
2024-12-28,"[1, 8, 35, 38, 40, 41]",5
2024-12-25,"[8, 12, 18, 24, 43, 47]",11
2024-12-21,"[7, 11, 31, 35, 41, 44]",14
2024-12-18,"[12, 15, 21, 40, 47, 49]",29
2024-12-14,"[4, 11, 17, 19, 26, 47]",49
2024-12-11,"[6, 13, 18, 21, 27, 29]",46
2024-12-07,"[5, 10, 12, 31, 32, 36]",41
2024-12-04,"[6, 12, 18, 23, 27, 42]",21
2024-11-30,"[8, 22, 25, 30, 31, 41]",11
2024-11-27,"[6, 8, 20, 30, 31, 47]",12
2024-11-23,"[12, 13, 28, 35, 40, 47]",24
2024-11-20,"[5, 7, 8, 11, 26, 35]",45
2024-11-16,"[1, 23, 26, 35, 43, 48]",4
2024-11-13,"[9, 10, 22, 35, 45, 49]",38
2024-11-09,"[3, 8, 10, 25, 39, 47]",2
2024-11-06,"[16, 22, 24, 25, 35, 48]",32
2024-11-02,"[4, 8, 16, 29, 36, 49]",15
2024-10-30,"[11, 22, 25, 30, 46, 48]",18
2024-10-26,"[3, 18, 26, 32, 37, 43]",1
2024-10-23,"[6, 11, 18, 32, 33, 48]",24
2024-10-19,"[1, 3, 11, 29, 43, 45]",49
2024-10-16,"[1, 2, 19, 31, 33, 42]",28
2024-10-12,"[22, 24, 32, 34, 43, 48]",15
2024-10-09,"[9, 15, 19, 27, 35, 36]",6
2024-10-05,"[4, 8, 14, 17, 21, 43]",3
2024-10-02,"[8, 9, 11, 23, 26, 40]",1
2024-09-28,"[12, 21, 23, 33, 37, 39]",43
2024-09-25,"[2, 23, 33, 38, 43, 44]",32
2024-09-21,"[1, 7, 17, 33, 36, 40]",34
2024-09-18,"[5, 23, 39, 44, 46, 48]",22
2024-09-14,"[6, 20, 22, 29, 44, 45]",11
2024-09-11,"[11, 12, 15, 25, 44, 46]",48
2024-09-07,"[3, 6, 14, 28, 40, 48]",44
2024-09-04,"[2, 14, 22, 25, 27, 35]",15
2024-08-31,"[19, 21, 27, 28, 31, 49]",39
2024-08-28,"[2, 10, 21, 25, 27, 28]",18
2024-08-24,"[9, 10, 26, 28, 41, 43]",20
2024-08-21,"[10, 18, 26, 28, 35, 37]",12
2024-08-17,"[8, 10, 12, 27, 34, 48]",22
2024-08-14,"[5, 20, 26, 27, 32, 45]",17
2024-08-10,"[5, 13, 28, 40, 41, 45]",32
2024-08-07,"[2, 4, 14, 22, 45, 49]",15
2024-08-03,"[6, 7, 10, 13, 30, 40]",39
2024-07-31,"[14, 22, 23, 30, 37, 47]",39
2024-07-27,"[17, 26, 32, 35, 38, 46]",5
2024-07-24,"[3, 20, 22, 27, 35, 41]",18
2024-07-20,"[9, 12, 39, 41, 42, 46]",12
2024-07-17,"[1, 3, 4, 11, 19, 22]",6
2024-07-13,"[4, 5, 15, 23, 35, 44]",9
2024-07-10,"[11, 14, 19, 27, 29, 44]",25
2024-07-06,"[12, 21, 25, 31, 41, 48]",22
2024-07-03,"[13, 19, 24, 40, 43, 44]",19
2024-06-29,"[4, 10, 18, 19, 35, 37]",49
2024-06-26,"[3, 9, 18, 19, 21, 43]",31
2024-06-22,"[8, 12, 13, 15, 37, 41]",45
2024-06-19,"[5, 12, 14, 21, 25, 39]",41
2024-06-15,"[11, 24, 32, 34, 45, 49]",29
2024-06-12,"[10, 12, 16, 21, 25, 27]",33
2024-06-08,"[2, 5, 16, 25, 35, 48]",17
2024-06-05,"[16, 17, 22, 26, 28, 45]",43
2024-06-01,"[12, 22, 31, 35, 38, 41]",13
2024-05-29,"[4, 7, 11, 17, 24, 26]",23
2024-05-25,"[5, 8, 10, 14, 47, 49]",7
2024-05-22,"[5, 11, 15, 22, 24, 40]",8
2024-05-18,"[1, 3, 7, 25, 29, 49]",27
2024-05-15,"[11, 24, 29, 37, 40, 45]",44
2024-05-11,"[2, 8, 9, 27, 29, 46]",21
2024-05-08,"[13, 16, 22, 30, 37, 42]",25
2024-05-04,"[4, 10, 17, 26, 40, 41]",6
2024-05-01,"[10, 11, 13, 18, 40, 43]",48
2024-04-27,"[3, 6, 7, 12, 13, 15]",27
